###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./4DNESMSEE62M_raw_files_2022-08-01-15h-28m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-fastq/4DNFI7VNDVMR/@@download/4DNFI7VNDVMR.fastq.gz	4DNESMSEE62M	4DNEXK4GJVWC	4DNFI7VNDVMR	108.00	7dea1c56d85309f8b19d4f5947750926	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFILSY6AEX	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	CTCF protein	K562 (Tier 2)	CTCF - K562	Millipore 07-729	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/5ea0ae79-0937-47c5-97f2-6287d4826f7f/4DNFI7VNDVMR.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFICL1P49M/@@download/4DNFICL1P49M.fastq.gz	4DNESMSEE62M	4DNEXK4GJVWC	4DNFICL1P49M	107.99	b3d5ffa9bf3207f2571828f6b7aef71d	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIP6OIUZB	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	CTCF protein	K562 (Tier 2)	CTCF - K562	Millipore 07-729	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/b2aa572d-12f5-4632-ac00-8e6ee7863b76/4DNFICL1P49M.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIDESX1PC/@@download/4DNFIDESX1PC.fastq.gz	4DNESMSEE62M	4DNEXK4GJVWC	4DNFIDESX1PC	70.29	e1077461407f23d8acba95ff5429283c	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFITDT7J4A	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	CTCF protein	K562 (Tier 2)	CTCF - K562	Millipore 07-729	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/d8816e44-ddba-4423-885f-a9e13c46f37a/4DNFIDESX1PC.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFILSY6AEX/@@download/4DNFILSY6AEX.fastq.gz	4DNESMSEE62M	4DNEXK4GJVWC	4DNFILSY6AEX	105.54	9f0af00fe4f6caf3c6bc5dea8951b5a1	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI7VNDVMR	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	CTCF protein	K562 (Tier 2)	CTCF - K562	Millipore 07-729	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/e5b1edae-4a9d-4c1e-a94b-8689567a6466/4DNFILSY6AEX.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIP6OIUZB/@@download/4DNFIP6OIUZB.fastq.gz	4DNESMSEE62M	4DNEXK4GJVWC	4DNFIP6OIUZB	104.95	3016b874464097ed93afbfed03cafa65	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFICL1P49M	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	CTCF protein	K562 (Tier 2)	CTCF - K562	Millipore 07-729	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/ba77beba-3113-48c8-bed2-ffb347e2fb16/4DNFIP6OIUZB.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFITDT7J4A/@@download/4DNFITDT7J4A.fastq.gz	4DNESMSEE62M	4DNEXK4GJVWC	4DNFITDT7J4A	72.07	e2b4365ad435626db77d55b1c22c4077	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIDESX1PC	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	CTCF protein	K562 (Tier 2)	CTCF - K562	Millipore 07-729	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/f61a59a5-9ef4-48a7-96a0-56bb4fc84c02/4DNFITDT7J4A.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI7B7KINH/@@download/4DNFI7B7KINH.fastq.gz	4DNESMSEE62M	4DNEXBICYOBQ	4DNFI7B7KINH	107.84	b6305b623b990f2a55e107bf2a32acae	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFINJCZ6Z2	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	CTCF protein	K562 (Tier 2)	CTCF - K562	Millipore 07-729	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/873c0752-69c9-49be-9bc9-3a3665f7d34e/4DNFI7B7KINH.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIHXI93RV/@@download/4DNFIHXI93RV.fastq.gz	4DNESMSEE62M	4DNEXBICYOBQ	4DNFIHXI93RV	107.83	21318a39852133a1950d0329f56c522a	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIO3D6FXI	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	CTCF protein	K562 (Tier 2)	CTCF - K562	Millipore 07-729	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/b6b8c544-fa6f-4523-8835-1a105c1ad41f/4DNFIHXI93RV.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFINJCZ6Z2/@@download/4DNFINJCZ6Z2.fastq.gz	4DNESMSEE62M	4DNEXBICYOBQ	4DNFINJCZ6Z2	105.89	de78062f3642f2e249c3f215dc04d46b	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFI7B7KINH	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	CTCF protein	K562 (Tier 2)	CTCF - K562	Millipore 07-729	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/93ceefdf-83de-4ef8-9df4-6808f0ceeeca/4DNFINJCZ6Z2.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIO3D6FXI/@@download/4DNFIO3D6FXI.fastq.gz	4DNESMSEE62M	4DNEXBICYOBQ	4DNFIO3D6FXI	105.80	24b0c376794a69c7c84b29b0480a1e26	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIHXI93RV	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	CTCF protein	K562 (Tier 2)	CTCF - K562	Millipore 07-729	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/a2bddd88-c103-4a43-bc08-9244fd757bbb/4DNFIO3D6FXI.fastq.gz
