###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./4DNES29C68BC_raw_files_2022-08-01-15h-31m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-fastq/4DNFI6ASQ6ND/@@download/4DNFI6ASQ6ND.fastq.gz	4DNES29C68BC	4DNEXFOVXVFY	4DNFI6ASQ6ND	103.52	56720822ad34fbfbb8e344d20afe9434	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI7D1WZ7A	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H2A.Z protein	K562 (Tier 2)	H2A.Z - K562	Upstate 07-594	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/96c70948-67ca-4823-ad1b-9446e68583d1/4DNFI6ASQ6ND.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI79HT983/@@download/4DNFI79HT983.fastq.gz	4DNES29C68BC	4DNEXFOVXVFY	4DNFI79HT983	60.93	ba8ee6b5ad20efcf5e9cfbb0ee5d5fd3	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI8S9JCAN	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H2A.Z protein	K562 (Tier 2)	H2A.Z - K562	Upstate 07-594	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/0b59dc9f-c979-4ace-9e77-dd8245392f65/4DNFI79HT983.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI7D1WZ7A/@@download/4DNFI7D1WZ7A.fastq.gz	4DNES29C68BC	4DNEXFOVXVFY	4DNFI7D1WZ7A	104.88	d5850f8bb7bdcab6656142fe02343ab0	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI6ASQ6ND	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H2A.Z protein	K562 (Tier 2)	H2A.Z - K562	Upstate 07-594	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/daf2aaf1-f932-4d73-897d-6b4bda4ba9af/4DNFI7D1WZ7A.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI82W57ZG/@@download/4DNFI82W57ZG.fastq.gz	4DNES29C68BC	4DNEXFOVXVFY	4DNFI82W57ZG	104.05	6c50701160a84faa96c39f85998fc73f	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIQ37ZCIE	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H2A.Z protein	K562 (Tier 2)	H2A.Z - K562	Upstate 07-594	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/10c7fcf6-3834-49bd-87f6-dcee4aca1456/4DNFI82W57ZG.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI8S9JCAN/@@download/4DNFI8S9JCAN.fastq.gz	4DNES29C68BC	4DNEXFOVXVFY	4DNFI8S9JCAN	61.58	7edce7806537c71119d6e21a6ecdc990	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI79HT983	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H2A.Z protein	K562 (Tier 2)	H2A.Z - K562	Upstate 07-594	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/3504edd3-b07b-441a-92fd-8cc7c9595987/4DNFI8S9JCAN.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIQ37ZCIE/@@download/4DNFIQ37ZCIE.fastq.gz	4DNES29C68BC	4DNEXFOVXVFY	4DNFIQ37ZCIE	102.74	dac13e946c9898c456dde44b4e55a738	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI82W57ZG	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H2A.Z protein	K562 (Tier 2)	H2A.Z - K562	Upstate 07-594	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/c5ee6522-14f4-4f74-8832-7a5a04195784/4DNFIQ37ZCIE.fastq.gz
###		
###	Summary	
###		
###	Files Selected for Download:			6	
###	Total File Rows:			6	
###	Unique Downloadable Files:			6	
###						
###	IMPORTANT: As of October 15, 2020, you must include an access key in your cURL command for bulk downloads. You can configure the access key in your profile. If you do not already have an account, you can log in with your Google or GitHub credentials.				
