###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./4DNEX4U6O17Q_raw_files_2022-08-01-15h-26m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-fastq/4DNFI41YQKJ2/@@download/4DNFI41YQKJ2.fastq.gz	4DNESU3AZHGM	4DNEX4U6O17Q	4DNFI41YQKJ2	106.66	e3706c1e7b5cceb6a10bd5f6449f78f4	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIRNNV5VX	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27ac	K562 (Tier 2)	H3K27ac - K562	Millipore MABE647	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/96b81a2d-317d-4a87-9c26-aa6302a0dd67/4DNFI41YQKJ2.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIE5J9B1L/@@download/4DNFIE5J9B1L.fastq.gz	4DNESU3AZHGM	4DNEX4U6O17Q	4DNFIE5J9B1L	67.52	c3768af356d0a6115c9be9d7e38aff44	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIMNI3OG5	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27ac	K562 (Tier 2)	H3K27ac - K562	Millipore MABE647	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/884da894-1d4d-498d-ad27-1ee6947279f4/4DNFIE5J9B1L.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIMNI3OG5/@@download/4DNFIMNI3OG5.fastq.gz	4DNESU3AZHGM	4DNEX4U6O17Q	4DNFIMNI3OG5	66.69	7787ae047f1b8fa4defa552f01387c32	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIE5J9B1L	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27ac	K562 (Tier 2)	H3K27ac - K562	Millipore MABE647	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/8bee60c9-7de9-44fc-b10e-e310488e0585/4DNFIMNI3OG5.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIRHG5POE/@@download/4DNFIRHG5POE.fastq.gz	4DNESU3AZHGM	4DNEX4U6O17Q	4DNFIRHG5POE	105.76	4f73f4abb5bba0ff8b0486c0470171fc	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIRXWZ6DY	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27ac	K562 (Tier 2)	H3K27ac - K562	Millipore MABE647	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/2e88bbed-6109-42d9-ae62-aa2d92bb8ef9/4DNFIRHG5POE.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIRNNV5VX/@@download/4DNFIRNNV5VX.fastq.gz	4DNESU3AZHGM	4DNEX4U6O17Q	4DNFIRNNV5VX	105.34	612de9c5cefcffc4f7d4b2c103da8568	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI41YQKJ2	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27ac	K562 (Tier 2)	H3K27ac - K562	Millipore MABE647	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/426af77a-9a63-48a4-9f08-36dc9978e603/4DNFIRNNV5VX.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIRXWZ6DY/@@download/4DNFIRXWZ6DY.fastq.gz	4DNESU3AZHGM	4DNEX4U6O17Q	4DNFIRXWZ6DY	106.98	cd7e15f28044238481bb2fa194abfdf9	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIRHG5POE	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27ac	K562 (Tier 2)	H3K27ac - K562	Millipore MABE647	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/b3c0fb95-e1b0-462c-9498-0e43eccf5910/4DNFIRXWZ6DY.fastq.gz
###		
###	Summary	
###		
###	Files Selected for Download:			6	
###	Total File Rows:			6	
###	Unique Downloadable Files:			6	
###						
###	IMPORTANT: As of October 15, 2020, you must include an access key in your cURL command for bulk downloads. You can configure the access key in your profile. If you do not already have an account, you can log in with your Google or GitHub credentials.				
