###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./4DNESTTCK612_raw_files_2022-08-01-15h-18m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-fastq/4DNFI6JJCED8/@@download/4DNFI6JJCED8.fastq.gz	4DNESTTCK612	4DNEX3U4CW75	4DNFI6JJCED8	104.35	7496b3e4eabb27358c67f02330f83496	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIV9JU5DA	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27me3	K562 (Tier 2)	H3K27me3 - K562	Cell Signaling 9733S	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/bf247607-c09a-46c4-944b-9eebe637258e/4DNFI6JJCED8.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIHKXQ4B6/@@download/4DNFIHKXQ4B6.fastq.gz	4DNESTTCK612	4DNEX3U4CW75	4DNFIHKXQ4B6	101.49	cde262d108e312290145cbb974c250a4	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIYJ47JFJ	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27me3	K562 (Tier 2)	H3K27me3 - K562	Cell Signaling 9733S	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/0644589e-72c8-49ad-8439-74e049e410e0/4DNFIHKXQ4B6.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIOYG27IR/@@download/4DNFIOYG27IR.fastq.gz	4DNESTTCK612	4DNEX3U4CW75	4DNFIOYG27IR	24.16	a277e49e88f315aa4816aa8a87f0d720	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIRECQ7TO	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27me3	K562 (Tier 2)	H3K27me3 - K562	Cell Signaling 9733S	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/696a674c-44b2-4551-86c9-0bdc5bb05d74/4DNFIOYG27IR.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIRECQ7TO/@@download/4DNFIRECQ7TO.fastq.gz	4DNESTTCK612	4DNEX3U4CW75	4DNFIRECQ7TO	24.02	ccf6c4d43838de6a0293a73ea1e1599a	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIOYG27IR	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27me3	K562 (Tier 2)	H3K27me3 - K562	Cell Signaling 9733S	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/93d73a9e-8a8b-48b8-bf34-278a04824514/4DNFIRECQ7TO.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIV9JU5DA/@@download/4DNFIV9JU5DA.fastq.gz	4DNESTTCK612	4DNEX3U4CW75	4DNFIV9JU5DA	103.20	c23fdfc5a6ff310ae47db9a8e0187b26	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI6JJCED8	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27me3	K562 (Tier 2)	H3K27me3 - K562	Cell Signaling 9733S	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/b37cb76e-0484-448e-a91c-c6fc9de9fc5f/4DNFIV9JU5DA.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIYJ47JFJ/@@download/4DNFIYJ47JFJ.fastq.gz	4DNESTTCK612	4DNEX3U4CW75	4DNFIYJ47JFJ	102.55	2f2b6b0465b8c052b9cd0d997b6217bf	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIHKXQ4B6	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K27me3	K562 (Tier 2)	H3K27me3 - K562	Cell Signaling 9733S	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/21f51d8c-2605-4683-bf81-fe758836bc09/4DNFIYJ47JFJ.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI1L6SZA5/@@download/4DNFI1L6SZA5.fastq.gz	4DNESTTCK612	4DNEXJ11MUQJ	4DNFI1L6SZA5	19.11	be35c842a1a1592f403d6984d94bd936	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFI57CBMW6	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K27me3	K562 (Tier 2)	H3K27me3 - K562	Cell Signaling 9733S	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/b665e602-55ac-4d4a-96ae-64f874e67672/4DNFI1L6SZA5.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI57CBMW6/@@download/4DNFI57CBMW6.fastq.gz	4DNESTTCK612	4DNEXJ11MUQJ	4DNFI57CBMW6	19.37	f41f0e92237ceaa741ada6e4d15d8a50	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFI1L6SZA5	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K27me3	K562 (Tier 2)	H3K27me3 - K562	Cell Signaling 9733S	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/865198af-d167-477c-8f5f-78eb1fd26a25/4DNFI57CBMW6.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFICV4UHBD/@@download/4DNFICV4UHBD.fastq.gz	4DNESTTCK612	4DNEXJ11MUQJ	4DNFICV4UHBD	107.59	f5c4e614a1e5d4fb305d8f415be6b612	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIJ249VVE	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K27me3	K562 (Tier 2)	H3K27me3 - K562	Cell Signaling 9733S	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/3c7c75ed-fc5b-431b-9fff-fd51a60d01a8/4DNFICV4UHBD.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIJ249VVE/@@download/4DNFIJ249VVE.fastq.gz	4DNESTTCK612	4DNEXJ11MUQJ	4DNFIJ249VVE	106.00	2f5c92da24554e2d4367ff5ed34e5935	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFICV4UHBD	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K27me3	K562 (Tier 2)	H3K27me3 - K562	Cell Signaling 9733S	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/35475506-997a-4a9e-a06d-0556ee89470a/4DNFIJ249VVE.fastq.gz
