###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./4DNES6VYFIZW_raw_files_2022-08-01-15h-14m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-fastq/4DNFI1QRCS3J/@@download/4DNFI1QRCS3J.fastq.gz	4DNES6VYFIZW	4DNEXVL1WOCS	4DNFI1QRCS3J	46.22	e8af11bf50fb2d425e04257423c89256	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI6YWAX1U	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me1	K562 (Tier 2)	H3K4me1 - K562	ab8895	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/d8a3c1a8-f6d6-417a-82d9-f34a9929c313/4DNFI1QRCS3J.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI45K9XBY/@@download/4DNFI45K9XBY.fastq.gz	4DNES6VYFIZW	4DNEXVL1WOCS	4DNFI45K9XBY	104.03	faa011c7ae9cf02f1599d98aa299c399	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIOWCKCJ8	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me1	K562 (Tier 2)	H3K4me1 - K562	ab8895	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/bd6aa139-ca46-4c49-a866-6a68630b9a28/4DNFI45K9XBY.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI6YWAX1U/@@download/4DNFI6YWAX1U.fastq.gz	4DNES6VYFIZW	4DNEXVL1WOCS	4DNFI6YWAX1U	46.69	e2b508d11dd0ccf7216ab645ecef1f4e	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI1QRCS3J	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me1	K562 (Tier 2)	H3K4me1 - K562	ab8895	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/06df385a-a933-4577-bf05-4a0dac65455b/4DNFI6YWAX1U.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIF7B5PAB/@@download/4DNFIF7B5PAB.fastq.gz	4DNES6VYFIZW	4DNEXVL1WOCS	4DNFIF7B5PAB	102.72	89d21d0928f88bf0bda7ec99bf908abd	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIXAPVLMK	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me1	K562 (Tier 2)	H3K4me1 - K562	ab8895	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/c4426600-2de1-4b40-bce1-28752dc769c5/4DNFIF7B5PAB.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIOWCKCJ8/@@download/4DNFIOWCKCJ8.fastq.gz	4DNES6VYFIZW	4DNEXVL1WOCS	4DNFIOWCKCJ8	102.71	cf7124611e981e583b36f55400c369e0	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI45K9XBY	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me1	K562 (Tier 2)	H3K4me1 - K562	ab8895	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/87879dc0-e61a-4ab2-9ee4-f6c91b97d2ca/4DNFIOWCKCJ8.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIXAPVLMK/@@download/4DNFIXAPVLMK.fastq.gz	4DNES6VYFIZW	4DNEXVL1WOCS	4DNFIXAPVLMK	101.51	7b89d4029b66ece7f41572b5a76a7ae5	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIF7B5PAB	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me1	K562 (Tier 2)	H3K4me1 - K562	ab8895	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/1e185a89-695a-42ee-ba44-ca43fbb32c69/4DNFIXAPVLMK.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI58MYY49/@@download/4DNFI58MYY49.fastq.gz	4DNES6VYFIZW	4DNEXXEPY9GG	4DNFI58MYY49	106.80	38731fe5c04bfb40e887d0d3d5780739	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIH26LR2S	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K4me1	K562 (Tier 2)	H3K4me1 - K562	ab8895	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/60785c35-407c-4cab-b0a1-f14e78da536c/4DNFI58MYY49.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIDN8TEA3/@@download/4DNFIDN8TEA3.fastq.gz	4DNES6VYFIZW	4DNEXXEPY9GG	4DNFIDN8TEA3	94.76	02a58b45a041d738d80825c0ce65f347	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIK4C4I4K	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K4me1	K562 (Tier 2)	H3K4me1 - K562	ab8895	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/a6100e8d-de41-4689-9b47-0749a8c88f05/4DNFIDN8TEA3.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIEL978CE/@@download/4DNFIEL978CE.fastq.gz	4DNES6VYFIZW	4DNEXXEPY9GG	4DNFIEL978CE	106.64	b4e7af4460506866b291eaab07581f7b	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIPFT1492	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K4me1	K562 (Tier 2)	H3K4me1 - K562	ab8895	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/2978bbb9-6d5a-476d-9951-c752bb91e10d/4DNFIEL978CE.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIH26LR2S/@@download/4DNFIH26LR2S.fastq.gz	4DNES6VYFIZW	4DNEXXEPY9GG	4DNFIH26LR2S	104.75	1b6f3340cfc619a4d86c044c861fae21	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFI58MYY49	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K4me1	K562 (Tier 2)	H3K4me1 - K562	ab8895	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/d0f05ec5-fc37-42c0-9759-0271ca07ae8c/4DNFIH26LR2S.fastq.gz
