###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./4DNESV634K6K_raw_files_2022-08-01-15h-32m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-fastq/4DNFI5S8S7EP/@@download/4DNFI5S8S7EP.fastq.gz	4DNESV634K6K	4DNEXHXAT1SW	4DNFI5S8S7EP	106.47	f572d0a85f0d9383b5b56f0aee150fc2	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFISUSBDGO	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me3	K562 (Tier 2)	H3K4me3 - K562	Active Motif 39159	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/7fb0a920-e6f8-4a6b-9b35-123bd94618dd/4DNFI5S8S7EP.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIBIPUMNT/@@download/4DNFIBIPUMNT.fastq.gz	4DNESV634K6K	4DNEXHXAT1SW	4DNFIBIPUMNT	16.05	bd98ad05f6571384ee99861cba795ac2	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIKXLPRKD	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me3	K562 (Tier 2)	H3K4me3 - K562	Active Motif 39159	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/7e9f797c-7d90-4a6e-8edd-ca06e7078da4/4DNFIBIPUMNT.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIJCVPSP4/@@download/4DNFIJCVPSP4.fastq.gz	4DNESV634K6K	4DNEXHXAT1SW	4DNFIJCVPSP4	104.64	eef588e3bb8de81211842783be4fd3df	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFILAYBB16	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me3	K562 (Tier 2)	H3K4me3 - K562	Active Motif 39159	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/b3715bbf-478e-4ef9-b52d-2d8334c26fca/4DNFIJCVPSP4.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIKXLPRKD/@@download/4DNFIKXLPRKD.fastq.gz	4DNESV634K6K	4DNEXHXAT1SW	4DNFIKXLPRKD	16.15	97dbad9f74b0ead1e640a91e0a974d63	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIBIPUMNT	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me3	K562 (Tier 2)	H3K4me3 - K562	Active Motif 39159	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/efa65615-20e8-4232-a531-14a3f607e139/4DNFIKXLPRKD.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFILAYBB16/@@download/4DNFILAYBB16.fastq.gz	4DNESV634K6K	4DNEXHXAT1SW	4DNFILAYBB16	103.39	adab3758151ff317c3b1ad26e14fe461	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIJCVPSP4	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me3	K562 (Tier 2)	H3K4me3 - K562	Active Motif 39159	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/a6a6ab8a-3a42-4680-8e0a-77420ff1a6f9/4DNFILAYBB16.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFISUSBDGO/@@download/4DNFISUSBDGO.fastq.gz	4DNESV634K6K	4DNEXHXAT1SW	4DNFISUSBDGO	105.24	9db796c4f5b512bad14a1b359412016a	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI5S8S7EP	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	H3K4me3	K562 (Tier 2)	H3K4me3 - K562	Active Motif 39159	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/a7980683-3c11-4b53-8848-1efdf4cd89ef/4DNFISUSBDGO.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI3VISA7M/@@download/4DNFI3VISA7M.fastq.gz	4DNESV634K6K	4DNEXQ33GCMG	4DNFI3VISA7M	37.96	38486a97c4659975b340fb183b82b878	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIYHQGNCP	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K4me3	K562 (Tier 2)	H3K4me3 - K562	Active Motif 39159	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/c8a1ebe8-559f-49d1-945d-addb6d04b977/4DNFI3VISA7M.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI5MJ6VEH/@@download/4DNFI5MJ6VEH.fastq.gz	4DNESV634K6K	4DNEXQ33GCMG	4DNFI5MJ6VEH	105.03	0591da50eda9728c232cd87b017d5cd7	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIWO9WOQE	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K4me3	K562 (Tier 2)	H3K4me3 - K562	Active Motif 39159	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/d7592a49-9f9b-4341-9d42-70518f40fe13/4DNFI5MJ6VEH.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI699A7HP/@@download/4DNFI699A7HP.fastq.gz	4DNESV634K6K	4DNEXQ33GCMG	4DNFI699A7HP	104.98	86f1b8a646111e4deb13e480f33ce12f	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIUZY3AL8	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K4me3	K562 (Tier 2)	H3K4me3 - K562	Active Motif 39159	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/6f4880fd-5eb3-4ac5-a15b-df959dc2f01b/4DNFI699A7HP.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFID9CO1MU/@@download/4DNFID9CO1MU.fastq.gz	4DNESV634K6K	4DNEXQ33GCMG	4DNFID9CO1MU	106.89	ca59df659a0e94d3777b430d81c990a5	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIKF9FSP3	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	H3K4me3	K562 (Tier 2)	H3K4me3 - K562	Active Motif 39159	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/43afa2ba-77c3-4dac-8692-f4e991378b3a/4DNFID9CO1MU.fastq.gz
