###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./4DNESMJCIHO8_raw_files_2022-08-01-15h-28m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-fastq/4DNFI2YDP8MS/@@download/4DNFI2YDP8MS.fastq.gz	4DNESMJCIHO8	4DNEX3ATIEZJ	4DNFI2YDP8MS	109.19	3142deb54da52749abf1c544680d0e88	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIRB5QKU5	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	IgG protein	K562 (Tier 2)	IgG control - K562	ab46540	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/804164b9-e1e2-4520-b634-d42e5405a785/4DNFI2YDP8MS.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI7CYZ6ZL/@@download/4DNFI7CYZ6ZL.fastq.gz	4DNESMJCIHO8	4DNEX3ATIEZJ	4DNFI7CYZ6ZL	107.26	7a3bc7687c2a11410b0e371029f9f309	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI8DM4EA3	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	IgG protein	K562 (Tier 2)	IgG control - K562	ab46540	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/9575288e-f350-48fb-a262-8b8353341559/4DNFI7CYZ6ZL.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI89NERUM/@@download/4DNFI89NERUM.fastq.gz	4DNESMJCIHO8	4DNEX3ATIEZJ	4DNFI89NERUM	88.20	385f9a9524beeda020a3ad7cb356ccfa	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFIUA6IWTC	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	IgG protein	K562 (Tier 2)	IgG control - K562	ab46540	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/0ffe7b81-e0ab-40c4-ae26-63fb6c500431/4DNFI89NERUM.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI8DM4EA3/@@download/4DNFI8DM4EA3.fastq.gz	4DNESMJCIHO8	4DNEX3ATIEZJ	4DNFI8DM4EA3	108.25	f918ab39caeba702388f21beb9b88f02	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI7CYZ6ZL	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	IgG protein	K562 (Tier 2)	IgG control - K562	ab46540	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/74c6b8e5-e97b-4c65-af8d-06b000b466d0/4DNFI8DM4EA3.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIRB5QKU5/@@download/4DNFIRB5QKU5.fastq.gz	4DNESMJCIHO8	4DNEX3ATIEZJ	4DNFIRB5QKU5	107.91	6bbf37e407ded3c5a05dd580529ff9c9	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI2YDP8MS	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	IgG protein	K562 (Tier 2)	IgG control - K562	ab46540	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/00e4948f-98d8-419b-b1ae-65535e1bc9b6/4DNFIRB5QKU5.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIUA6IWTC/@@download/4DNFIUA6IWTC.fastq.gz	4DNESMJCIHO8	4DNEX3ATIEZJ	4DNFIUA6IWTC	87.21	a8c3ff56a8328026aa6872fe88d7d817	reads	fastq	1	1	immortalized cell line	human	paired with	4DNFI89NERUM	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 1, Techrep 1	IgG protein	K562 (Tier 2)	IgG control - K562	ab46540	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/aa6e5ee1-ec83-48b0-9b44-25df283fe6cd/4DNFIUA6IWTC.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI2FP9IW4/@@download/4DNFI2FP9IW4.fastq.gz	4DNESMJCIHO8	4DNEXLH6HYTR	4DNFI2FP9IW4	108.22	343c11aa5a6b540c7b1053fee0fc7b11	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIRJB4R46	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	IgG protein	K562 (Tier 2)	IgG control - K562	ab46540	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/625219df-0d8e-40a4-bc65-04525fdbea30/4DNFI2FP9IW4.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI69SE9P4/@@download/4DNFI69SE9P4.fastq.gz	4DNESMJCIHO8	4DNEXLH6HYTR	4DNFI69SE9P4	45.90	a0016a7d1239a928c3bdfcf625ed964a	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIZP2DZM4	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	IgG protein	K562 (Tier 2)	IgG control - K562	ab46540	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/93820296-1b27-4047-b6ed-d87ed61b0461/4DNFI69SE9P4.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFI9RI37TL/@@download/4DNFI9RI37TL.fastq.gz	4DNESMJCIHO8	4DNEXLH6HYTR	4DNFI9RI37TL	108.20	9f6c7d3c69fe9675b1304ed1aa5a2d18	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFIBD8ZZUW	2	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	IgG protein	K562 (Tier 2)	IgG control - K562	ab46540	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/138481df-95cd-4384-ade7-48ee7b11d8c8/4DNFI9RI37TL.fastq.gz
https://data.4dnucleome.org/files-fastq/4DNFIBD8ZZUW/@@download/4DNFIBD8ZZUW.fastq.gz	4DNESMJCIHO8	4DNEXLH6HYTR	4DNFIBD8ZZUW	107.00	1b92eb3c0757ce8f895f92ada6c12cfa	reads	fastq	2	1	immortalized cell line	human	paired with	4DNFI9RI37TL	1	released	released	Correspondence: steveh@fhcrc.org	CUT&RUN	Biorep 2, Techrep 1	IgG protein	K562 (Tier 2)	IgG control - K562	ab46540	raw file	4DN	Steve Henikoff, FREDHUTCH	Steve Henikoff, FREDHUTCH	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/files/b20df28b-3646-413f-9c6c-434438c3d489/4DNFIBD8ZZUW.fastq.gz
