accession	dataset	biosample_name	target_name	assay_term_name	assembly	output_type	file_format	file_format_type	derived_from
ENCFF692DSK	/experiments/ENCSR258SXK/	HepG2	SFPQ	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF043HEA/|/files/ENCFF001TDO/|/files/ENCFF857OUT/|/files/ENCFF357IUK/
ENCFF801SLM	/experiments/ENCSR991ADX/	HepG2	U2AF2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF243JAG/|/files/ENCFF001TDO/|/files/ENCFF572PWT/|/files/ENCFF713UPR/
ENCFF339YXQ	/experiments/ENCSR699PVC/	K562	CBFA2T2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF341FSC/|/files/ENCFF866VBI/|/files/ENCFF723YNA/
ENCFF848FVO	/experiments/ENCSR151NQL/	HepG2	AGO2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF385YDL/|/files/ENCFF762PXH/|/files/ENCFF101OYM/
ENCFF662AVB	/experiments/ENCSR582ZOA/	MCF-7	NFIB	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF625EBI/|/files/ENCFF001TDO/|/files/ENCFF902RAQ/|/files/ENCFF179ZRO/
ENCFF105XQA	/experiments/ENCSR555DCF/	MCF-7	ZNF512B	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF054UNK/|/files/ENCFF762YNF/|/files/ENCFF990NTY/
ENCFF553DRN	/experiments/ENCSR897JAS/	MCF-7	CREB1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF351PGN/|/files/ENCFF634HLA/|/files/ENCFF521INM/
ENCFF158UTC	/experiments/ENCSR479QAJ/	K562	U2AF2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF822WFQ/|/files/ENCFF625DLL/|/files/ENCFF483OPS/
ENCFF713HRG	/experiments/ENCSR000AQG/	K562	HDAC2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF680CDC/|/files/ENCFF233XEO/|/files/ENCFF930KIS/
ENCFF540IYS	/experiments/ENCSR302AWT/	K562	FOXK2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF037YFB/|/files/ENCFF001TDO/|/files/ENCFF732HYH/|/files/ENCFF203SUN/
ENCFF881THB	/experiments/ENCSR382XLA/	HepG2	ZFP36	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF722ERB/|/files/ENCFF806XIE/|/files/ENCFF844TSM/
ENCFF856FVT	/experiments/ENCSR126YEB/	MCF-7	FOXA1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF565ZVL/|/files/ENCFF017WRM/|/files/ENCFF031CJZ/
ENCFF414ZZX	/experiments/ENCSR563LLO/	K562	E2F1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF218RJK/|/files/ENCFF159RHZ/|/files/ENCFF710KKZ/
ENCFF645POH	/experiments/ENCSR000BJR/	A549	NR3C1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF033RSK/|/files/ENCFF001TDO/|/files/ENCFF664XHQ/|/files/ENCFF631NXF/
ENCFF565WKY	/experiments/ENCSR197ALX/	K562	HDGF	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF385LTD/|/files/ENCFF409HKO/|/files/ENCFF001TDO/|/files/ENCFF264KUV/
ENCFF500ZGP	/experiments/ENCSR814AJH/	K562	SRSF9	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF222MCF/|/files/ENCFF690XME/|/files/ENCFF169ZKI/
ENCFF934JXG	/experiments/ENCSR041AXL/	K562	RFX1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF830YCS/|/files/ENCFF008XTO/|/files/ENCFF811RGP/
ENCFF048DTR	/experiments/ENCSR117WTM/	K562	ZNF24	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF670KBE/|/files/ENCFF710KBI/|/files/ENCFF694BDZ/
ENCFF701QFG	/experiments/ENCSR115BBC/	K562	ASH1L	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF756HQJ/|/files/ENCFF216JOG/|/files/ENCFF001TDO/|/files/ENCFF505CXS/
ENCFF318UQW	/experiments/ENCSR030TJP/	K562	DACH1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF218RDF/|/files/ENCFF001TDO/|/files/ENCFF876GAB/|/files/ENCFF367IRL/
ENCFF933ZIS	/experiments/ENCSR385AHH/	K562	ZNF24	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF420MBN/|/files/ENCFF186JNG/|/files/ENCFF001TDO/|/files/ENCFF980UAQ/
ENCFF185YRG	/experiments/ENCSR670FDA/	K562	NFATC3	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF951XWI/|/files/ENCFF001TDO/|/files/ENCFF324WHA/|/files/ENCFF620EBO/
ENCFF727SRR	/experiments/ENCSR000EWG/	K562	GATA2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF163ZFQ/|/files/ENCFF001TDO/|/files/ENCFF717ZNF/|/files/ENCFF061TTI/
ENCFF186BSD	/experiments/ENCSR573OJP/	MCF-7	NCOA3	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF897KUN/|/files/ENCFF341FYC/|/files/ENCFF756MQT/
ENCFF916SBW	/experiments/ENCSR000EEK/	HepG2	JUN	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF939IIB/|/files/ENCFF001TDO/|/files/ENCFF505TKN/|/files/ENCFF934ECP/
ENCFF925GZC	/experiments/ENCSR697CUP/	MCF-7	HCFC1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF938AEH/|/files/ENCFF701BHY/|/files/ENCFF501NKG/
ENCFF322LZW	/experiments/ENCSR167JBG/	K562	DIDO1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF307MIA/|/files/ENCFF377KNC/|/files/ENCFF001TDO/|/files/ENCFF816UNQ/
