# 2025-03-25 20:25:48.631
# MPE-seq_30min_merge_rep1_mm10.bam
# Chromosome_ID	Chromosome_Size	Aligned_Reads	Unaligned_Reads
# chr1	195471971	7436224.0	0.0
# chr2	182113224	7611556.0	0.0
# chr3	160039680	5607587.0	0.0
# chr4	156508116	6151408.0	0.0
# chr5	151834684	6152081.0	0.0
# chr6	149736546	6081649.0	0.0
# chr7	145441459	5694753.0	0.0
# chr8	129401213	5547805.0	0.0
# chr9	124595110	5363395.0	0.0
# chr10	130694993	5005842.0	0.0
# chr11	122082543	6493601.0	0.0
# chr12	120129022	4458688.0	0.0
# chr13	120421639	4573179.0	0.0
# chr14	124902244	4343915.0	0.0
# chr15	104043685	4154353.0	0.0
# chr16	98207768	3614647.0	0.0
# chr17	94987271	3943509.0	0.0
# chr18	90702639	3391833.0	0.0
# chr19	61431566	2514891.0	0.0
# chrX	171031299	2447298.0	0.0
# chrY	91744698	124184.0	0.0
# Total Genome Size: 2.72552137E9	Total Aligned Tags: 1.00712398E8
# bwa	# 0.7.17-r1188
# bwa mem -t 24 -v 1 -T 30 -h 5 -M /storage/group/bfp2/default/wkl2-WillLai/00_REFERENCE_DATA/GENOMES/mm10/mm10.fa /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034490_1.fastq.gz /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034490_2.fastq.gz
# bwa-7B393B67	# 0.7.17-r1188
# bwa mem -t 24 -v 1 -T 30 -h 5 -M /storage/group/bfp2/default/wkl2-WillLai/00_REFERENCE_DATA/GENOMES/mm10/mm10.fa /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034491_1.fastq.gz /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034491_2.fastq.gz
# MarkDuplicates	# 2.24.1
# MarkDuplicates INPUT=[/storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/merged_tech_reps/SRR2034490_SRR2034491_ALIGNED_MERGE.bam] OUTPUT=SRR2034490_SRR2034491_ALIGNED_MERGE_MARKUP.bam METRICS_FILE=SRR2034490_SRR2034491_ALIGNED_MERGE_output_metrics.tab REMOVE_DUPLICATES=true ASSUME_SORTED=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*. OPTICAL_DUPLICATE_PIXEL_DISTANCE=100    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
# Average Insert Size: 176.4097908048921
# Median Insert Size: 164.0
# Mode Insert Size: 158.0
# Std deviation of Insert Size: 72.8924172108459
# Number of ReadPairs: 4.8094648E7
# Histogram
# Size (bp)	Frequency
0	754.0
1	0.0
2	518.0
3	498.0
4	541.0
5	502.0
6	521.0
7	508.0
8	525.0
9	528.0
10	515.0
11	528.0
12	613.0
13	625.0
14	636.0
15	727.0
16	783.0
17	770.0
18	804.0
19	2589.0
20	1973.0
21	1421.0
22	1242.0
23	1285.0
24	1279.0
25	1446.0
26	1503.0
27	1570.0
28	1697.0
29	1900.0
30	2015.0
31	2274.0
32	2530.0
33	2711.0
34	3066.0
35	3450.0
36	3908.0
37	4341.0
38	4780.0
39	5285.0
40	5847.0
41	6258.0
42	6991.0
43	7533.0
44	8490.0
45	9489.0
46	10889.0
47	12247.0
48	13626.0
49	14765.0
50	16301.0
51	17607.0
52	19417.0
53	21130.0
54	23279.0
55	25799.0
56	29392.0
57	32270.0
58	35706.0
59	38266.0
60	41374.0
61	43402.0
62	46427.0
63	50437.0
64	54231.0
65	59449.0
66	65216.0
67	71640.0
68	78462.0
69	84761.0
70	88671.0
71	92212.0
72	95436.0
73	101275.0
74	107056.0
75	112993.0
76	120714.0
77	127120.0
78	135032.0
79	141933.0
80	144813.0
81	146176.0
82	149449.0
83	150471.0
84	154864.0
85	160188.0
86	166803.0
87	172588.0
88	181585.0
89	190268.0
90	193900.0
91	191019.0
92	189552.0
93	187930.0
94	189834.0
95	191762.0
96	195601.0
97	200172.0
98	207752.0
99	212715.0
100	215147.0
101	214027.0
102	212378.0
103	211408.0
104	210698.0
105	212140.0
106	214254.0
107	220018.0
108	225062.0
109	231852.0
110	235205.0
111	236875.0
112	233512.0
113	230753.0
114	229398.0
115	229474.0
116	232054.0
117	236070.0
118	243575.0
119	250431.0
120	253933.0
121	254069.0
122	253099.0
123	252457.0
124	251940.0
125	252653.0
126	256304.0
127	260294.0
128	264723.0
129	270122.0
130	277729.0
131	284636.0
132	287622.0
133	288874.0
134	289411.0
135	289728.0
136	291746.0
137	294909.0
138	300444.0
139	306850.0
140	311420.0
141	315821.0
142	319399.0
143	323983.0
144	326498.0
145	328540.0
146	329594.0
147	332199.0
148	335195.0
149	337712.0
150	341695.0
151	347592.0
152	348911.0
153	351236.0
154	353463.0
155	355179.0
156	356366.0
157	358474.0
158	359942.0
159	359184.0
160	359433.0
161	359534.0
162	359102.0
163	357801.0
164	357219.0
165	357999.0
166	355768.0
167	354895.0
168	351932.0
169	350019.0
170	347849.0
171	343773.0
172	339832.0
173	337534.0
174	333844.0
175	331503.0
176	329148.0
177	324988.0
178	321952.0
179	317982.0
180	312307.0
181	308301.0
182	303376.0
183	297976.0
184	293001.0
185	287141.0
186	282956.0
187	279699.0
188	274357.0
189	270211.0
190	265081.0
191	259559.0
192	252416.0
193	247977.0
194	242874.0
195	238310.0
196	232095.0
197	227396.0
198	223189.0
199	218990.0
200	211920.0
201	207837.0
202	203116.0
203	197314.0
204	192473.0
205	187964.0
206	183550.0
207	179206.0
208	174975.0
209	171040.0
210	167325.0
211	162931.0
212	158713.0
213	153738.0
214	150281.0
215	145951.0
216	142142.0
217	138924.0
218	135943.0
219	132988.0
220	130170.0
221	126856.0
222	122939.0
223	120295.0
224	117671.0
225	115104.0
226	110918.0
227	109712.0
228	107193.0
229	104646.0
230	103019.0
231	100960.0
232	98303.0
233	95826.0
234	94047.0
235	91899.0
236	90034.0
237	87475.0
238	86972.0
239	85690.0
240	83373.0
241	82266.0
242	81022.0
243	79105.0
244	78207.0
245	76462.0
246	75712.0
247	73705.0
248	72760.0
249	72057.0
250	70732.0
251	69970.0
252	69312.0
253	67856.0
254	67559.0
255	66237.0
256	65223.0
257	64174.0
258	63418.0
259	62977.0
260	62065.0
261	61950.0
262	60994.0
263	60671.0
264	60282.0
265	59535.0
266	58484.0
267	57955.0
268	57001.0
269	56897.0
270	56190.0
271	56066.0
272	55767.0
273	55153.0
274	54455.0
275	54410.0
276	54048.0
277	53753.0
278	53003.0
279	52509.0
280	52510.0
281	52618.0
282	51752.0
283	52115.0
284	51294.0
285	51252.0
286	50375.0
287	50648.0
288	50516.0
289	50467.0
290	50338.0
291	49964.0
292	49468.0
293	49926.0
294	49490.0
295	49794.0
296	49030.0
297	49858.0
298	49400.0
299	49312.0
300	49215.0
301	49366.0
302	49713.0
303	49423.0
304	49610.0
305	49344.0
306	49399.0
307	49278.0
308	49918.0
309	49516.0
310	50132.0
311	50215.0
312	50155.0
313	50637.0
314	50850.0
315	50934.0
316	51034.0
317	50937.0
318	51596.0
319	51653.0
320	51777.0
321	51853.0
322	51871.0
323	51792.0
324	52077.0
325	52767.0
326	52449.0
327	52613.0
328	52981.0
329	52869.0
330	52764.0
331	52924.0
332	52775.0
333	52776.0
334	53046.0
335	53140.0
336	52983.0
337	52753.0
338	52399.0
339	52300.0
340	52229.0
341	51779.0
342	51822.0
343	51687.0
344	51091.0
345	51069.0
346	50584.0
347	50472.0
348	49877.0
349	49606.0
350	49051.0
351	48663.0
352	48062.0
353	47281.0
354	46775.0
355	46049.0
356	45614.0
357	44796.0
358	44353.0
359	43954.0
360	42788.0
361	41943.0
362	41103.0
363	40731.0
364	39909.0
365	39101.0
366	38150.0
367	37738.0
368	36361.0
369	35664.0
370	34895.0
371	33783.0
372	32922.0
373	32211.0
374	31414.0
375	30162.0
376	29653.0
377	28693.0
378	27624.0
379	27253.0
380	25993.0
381	24942.0
382	24224.0
383	23296.0
384	22789.0
385	21573.0
386	20741.0
387	20148.0
388	19356.0
389	18582.0
390	17939.0
391	16935.0
392	16512.0
393	15543.0
394	14750.0
395	14013.0
396	13607.0
397	12838.0
398	12403.0
399	11660.0
400	11073.0
401	10753.0
402	10051.0
403	9491.0
404	9173.0
405	8615.0
406	8086.0
407	7821.0
408	7320.0
409	6887.0
410	6425.0
411	6022.0
412	5718.0
413	5464.0
414	5158.0
415	4739.0
416	4601.0
417	4333.0
418	4029.0
419	3896.0
420	3577.0
421	3292.0
422	3189.0
423	2986.0
424	2790.0
425	2616.0
426	2450.0
427	2402.0
428	2094.0
429	1956.0
430	1848.0
431	1653.0
432	1474.0
433	1355.0
434	1286.0
435	1224.0
436	1115.0
437	1018.0
438	1009.0
439	829.0
440	647.0
