# 2025-03-26 00:15:20.588
# MPE-seq_30min_rep2_mm10.bam
# Chromosome_ID	Chromosome_Size	Aligned_Reads	Unaligned_Reads
# chr1	195471971	2698941.0	0.0
# chr2	182113224	2810598.0	0.0
# chr3	160039680	2069658.0	0.0
# chr4	156508116	2258370.0	0.0
# chr5	151834684	2238654.0	0.0
# chr6	149736546	2101594.0	0.0
# chr7	145441459	2091415.0	0.0
# chr8	129401213	2081396.0	0.0
# chr9	124595110	1902559.0	0.0
# chr10	130694993	1818240.0	0.0
# chr11	122082543	2078042.0	0.0
# chr12	120129022	1636354.0	0.0
# chr13	120421639	1650570.0	0.0
# chr14	124902244	1594954.0	0.0
# chr15	104043685	1475017.0	0.0
# chr16	98207768	1319239.0	0.0
# chr17	94987271	1449531.0	0.0
# chr18	90702639	1221941.0	0.0
# chr19	61431566	890856.0	0.0
# chrX	171031299	944974.0	0.0
# chrY	91744698	65404.0	0.0
# Total Genome Size: 2.72552137E9	Total Aligned Tags: 3.6398307E7
# bwa	# 0.7.17-r1188
# bwa mem -t 24 -v 1 -T 30 -h 5 -M /storage/group/bfp2/default/wkl2-WillLai/00_REFERENCE_DATA/GENOMES/mm10/mm10.fa /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034492_1.fastq.gz /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034492_2.fastq.gz
# MarkDuplicates	# 2.24.1
# MarkDuplicates INPUT=[/storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/final_files/SRR2034492_ALIGNED.bam] OUTPUT=SRR2034492_MARKUP.bam METRICS_FILE=SRR2034492_output_metrics.tab REMOVE_DUPLICATES=true ASSUME_SORTED=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*. OPTICAL_DUPLICATE_PIXEL_DISTANCE=100    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
# Average Insert Size: 181.22057731086565
# Median Insert Size: 165.0
# Mode Insert Size: 153.0
# Std deviation of Insert Size: 78.431002573475
# Number of ReadPairs: 1.7436695E7
# Histogram
# Size (bp)	Frequency
0	52027.0
1	0.0
2	363.0
3	355.0
4	342.0
5	402.0
6	370.0
7	393.0
8	381.0
9	406.0
10	418.0
11	497.0
12	432.0
13	456.0
14	442.0
15	511.0
16	517.0
17	507.0
18	550.0
19	3949.0
20	3580.0
21	2584.0
22	1552.0
23	1525.0
24	1345.0
25	1569.0
26	1490.0
27	1508.0
28	1575.0
29	1699.0
30	1810.0
31	1823.0
32	2024.0
33	2052.0
34	2261.0
35	2304.0
36	2485.0
37	2663.0
38	2854.0
39	3086.0
40	3180.0
41	3531.0
42	3558.0
43	3842.0
44	4107.0
45	4513.0
46	4768.0
47	5137.0
48	5655.0
49	6033.0
50	6145.0
51	6585.0
52	7058.0
53	7620.0
54	8044.0
55	8984.0
56	9745.0
57	10331.0
58	11223.0
59	11712.0
60	12625.0
61	13072.0
62	13871.0
63	15329.0
64	16401.0
65	17446.0
66	19129.0
67	20891.0
68	22944.0
69	24713.0
70	25957.0
71	26945.0
72	28053.0
73	29959.0
74	31840.0
75	34553.0
76	36696.0
77	39036.0
78	42005.0
79	44354.0
80	45945.0
81	47153.0
82	48972.0
83	50171.0
84	52600.0
85	54628.0
86	57923.0
87	60504.0
88	64252.0
89	68761.0
90	70689.0
91	70161.0
92	70004.0
93	70803.0
94	72148.0
95	73033.0
96	75616.0
97	78120.0
98	81230.0
99	84029.0
100	85685.0
101	84804.0
102	84815.0
103	84416.0
104	84857.0
105	84661.0
106	86750.0
107	87814.0
108	90862.0
109	94669.0
110	96358.0
111	96498.0
112	94819.0
113	93560.0
114	91992.0
115	93333.0
116	94501.0
117	96134.0
118	98727.0
119	102953.0
120	102932.0
121	101354.0
122	100055.0
123	98311.0
124	96865.0
125	96083.0
126	97017.0
127	97680.0
128	100095.0
129	101756.0
130	104853.0
131	107152.0
132	108870.0
133	107208.0
134	104923.0
135	103784.0
136	103648.0
137	104473.0
138	106309.0
139	108653.0
140	110670.0
141	111312.0
142	111082.0
143	111147.0
144	111380.0
145	109569.0
146	108097.0
147	107716.0
148	106777.0
149	107651.0
150	108870.0
151	111025.0
152	111216.0
153	111929.0
154	111492.0
155	111569.0
156	111507.0
157	110193.0
158	110248.0
159	109805.0
160	109737.0
161	109607.0
162	109400.0
163	109737.0
164	108628.0
165	108543.0
166	107408.0
167	106599.0
168	105466.0
169	105176.0
170	103763.0
171	102615.0
172	101647.0
173	100227.0
174	99739.0
175	99620.0
176	98516.0
177	97195.0
178	96323.0
179	95189.0
180	93724.0
181	92509.0
182	91377.0
183	90181.0
184	88711.0
185	88366.0
186	86620.0
187	86108.0
188	84021.0
189	83673.0
190	82138.0
191	80347.0
192	79341.0
193	77544.0
194	76765.0
195	75778.0
196	74252.0
197	73079.0
198	72188.0
199	70751.0
200	69851.0
201	68519.0
202	67011.0
203	65346.0
204	63850.0
205	63195.0
206	62682.0
207	61643.0
208	60401.0
209	59242.0
210	57992.0
211	56535.0
212	55748.0
213	54458.0
214	53490.0
215	52416.0
216	51679.0
217	50652.0
218	49464.0
219	49040.0
220	48325.0
221	47261.0
222	46233.0
223	45382.0
224	44529.0
225	43481.0
226	43064.0
227	41796.0
228	41448.0
229	40576.0
230	40212.0
231	39640.0
232	38629.0
233	38186.0
234	37773.0
235	36636.0
236	35986.0
237	35389.0
238	35052.0
239	34837.0
240	34623.0
241	33587.0
242	33067.0
243	32868.0
244	32499.0
245	31867.0
246	31798.0
247	31251.0
248	30570.0
249	30554.0
250	30138.0
251	29900.0
252	29515.0
253	29222.0
254	28956.0
255	28029.0
256	27918.0
257	27937.0
258	27694.0
259	27529.0
260	27043.0
261	26962.0
262	26881.0
263	26808.0
264	26235.0
265	25926.0
266	26022.0
267	25926.0
268	25371.0
269	25554.0
270	25099.0
271	25210.0
272	25108.0
273	25113.0
274	24625.0
275	24700.0
276	24512.0
277	24397.0
278	24165.0
279	24000.0
280	24104.0
281	23910.0
282	23908.0
283	23765.0
284	23879.0
285	23795.0
286	23999.0
287	23501.0
288	23786.0
289	23731.0
290	23614.0
291	23674.0
292	23263.0
293	23403.0
294	23303.0
295	23253.0
296	23660.0
297	23400.0
298	23229.0
299	23277.0
300	23439.0
301	23553.0
302	23427.0
303	23669.0
304	23624.0
305	23695.0
306	23771.0
307	24066.0
308	23744.0
309	23954.0
310	24069.0
311	23993.0
312	24336.0
313	24466.0
314	24373.0
315	24637.0
316	25026.0
317	24792.0
318	25135.0
319	25030.0
320	25041.0
321	25133.0
322	25342.0
323	25396.0
324	25582.0
325	25494.0
326	25939.0
327	25675.0
328	25933.0
329	25788.0
330	25956.0
331	25885.0
332	26167.0
333	26211.0
334	26289.0
335	26651.0
336	26226.0
337	26291.0
338	26191.0
339	26526.0
340	26347.0
341	26074.0
342	26216.0
343	26136.0
344	26042.0
345	26183.0
346	26025.0
347	25700.0
348	25930.0
349	25512.0
350	25471.0
351	25282.0
352	24869.0
353	24488.0
354	24468.0
355	23816.0
356	23685.0
357	23227.0
358	22960.0
359	22369.0
360	21705.0
361	21641.0
362	21161.0
363	20652.0
364	19850.0
365	19454.0
366	18900.0
367	18401.0
368	17725.0
369	17236.0
370	16712.0
371	16148.0
372	15420.0
373	14573.0
374	14210.0
375	13640.0
376	12966.0
377	12548.0
378	11894.0
379	11493.0
380	10895.0
381	9958.0
382	9618.0
383	8933.0
384	8523.0
385	8201.0
386	7648.0
387	7132.0
388	6626.0
389	6179.0
390	5886.0
391	5302.0
392	4913.0
393	4611.0
394	4258.0
395	3940.0
396	3611.0
397	3342.0
398	3179.0
399	2808.0
400	2678.0
401	2423.0
402	2194.0
403	1999.0
404	1813.0
405	1673.0
406	1485.0
407	1322.0
408	1252.0
409	1092.0
410	983.0
411	887.0
412	805.0
413	777.0
414	633.0
415	587.0
416	566.0
417	508.0
418	496.0
419	398.0
420	378.0
421	372.0
422	334.0
423	304.0
424	269.0
425	273.0
426	256.0
427	236.0
428	229.0
429	193.0
430	183.0
431	189.0
432	172.0
433	161.0
434	174.0
435	151.0
436	159.0
437	160.0
438	160.0
439	150.0
440	120.0
