	BNase_NoOverlap_midpoint_combined.cdt
Nuc-36007-chr1_10450577_10450741_stddev=15.236104780713767	52.0
Nuc-289103-chr1_109199670_109199834_stddev=17.562104088064164	155.0
Nuc-289557-chr1_109306851_109307015_stddev=19.247574803139983	113.0
Nuc-291368-chr1_109763195_109763359_stddev=7.2922764565235285	97.0
Nuc-295437-chr1_110873131_110873295_stddev=28.461688430824573	189.0
Nuc-301657-chr1_112711292_112711456_stddev=21.727195077072412	65.0
Nuc-312332-chr1_115976244_115976408_stddev=22.78697201801942	83.0
Nuc-316196-chr1_117001685_117001849_stddev=24.981520948270724	79.0
Nuc-3968-chr1_1215014_1215178_stddev=12.534035296596485	51.0
Nuc-45190-chr1_12745126_12745290_stddev=14.822921718219483	67.0
Nuc-4425-chr1_1330554_1330718_stddev=18.60752535938081	47.0
Nuc-4785-chr1_1426715_1426879_stddev=13.790848414800301	97.0
Nuc-347832-chr1_146021613_146021777_stddev=22.109293558999227	111.0
Nuc-4919-chr1_1461808_1461972_stddev=19.539067222592642	57.0
Nuc-360177-chr1_149888188_149888352_stddev=17.953926877001287	92.0
Nuc-360822-chr1_150067810_150067974_stddev=7.247800510837613	102.0
Nuc-361426-chr1_150235952_150236116_stddev=10.985786271359915	58.0
Nuc-361512-chr1_150257722_150257886_stddev=17.710611180674178	131.0
Nuc-361610-chr1_150282249_150282413_stddev=16.552892916009842	116.0
Nuc-363443-chr1_150765735_150765899_stddev=17.794349914759145	113.0
Nuc-363877-chr1_150887092_150887256_stddev=17.37882817220578	108.0
Nuc-364019-chr1_150926399_150926563_stddev=20.181785421758835	339.0
Nuc-364221-chr1_150982292_150982456_stddev=23.27435110573909	225.0
Nuc-364326-chr1_151006840_151007004_stddev=14.11067365901115	81.0
Nuc-364452-chr1_151037893_151038057_stddev=13.647873930027247	53.0
Nuc-370007-chr1_153040956_153041120_stddev=18.329575372422934	54.0
Nuc-53291-chr1_15346050_15346214_stddev=28.445800748913953	102.0
Nuc-371354-chr1_153540722_153540886_stddev=23.162150312537733	117.0
Nuc-371460-chr1_153566472_153566636_stddev=22.387917200246587	127.0
Nuc-371698-chr1_153627343_153627507_stddev=19.426541383784393	310.0
Nuc-372827-chr1_153976440_153976604_stddev=26.663945439386083	120.0
Nuc-374036-chr1_154320966_154321130_stddev=9.202581159652981	82.0
Nuc-53752-chr1_15456704_15456868_stddev=20.40170561097122	101.0
Nuc-375869-chr1_154860292_154860456_stddev=20.93258250624186	97.0
Nuc-376410-chr1_154993030_154993194_stddev=23.036212619194472	184.0
Nuc-377206-chr1_155193197_155193361_stddev=13.38589639218167	193.0
Nuc-379564-chr1_155857046_155857210_stddev=22.02202533828349	145.0
Nuc-379771-chr1_155911209_155911373_stddev=19.163235421941007	141.0
Nuc-380354-chr1_156061002_156061166_stddev=16.091535041754096	71.0
Nuc-380696-chr1_156146413_156146577_stddev=12.541512700481011	137.0
Nuc-381065-chr1_156241572_156241736_stddev=25.024987512484397	73.0
Nuc-381093-chr1_156248163_156248327_stddev=24.653620837681494	87.0
Nuc-381269-chr1_156295515_156295679_stddev=15.257336995030647	114.0
Nuc-382360-chr1_156579648_156579812_stddev=30.728396883013602	100.0
Nuc-385919-chr1_157552420_157552584_stddev=20.778218763888304	49.0
Nuc-386679-chr1_157993267_157993431_stddev=15.0858653491715	36.0
Nuc-55207-chr1_15808729_15808893_stddev=16.94763175851488	44.0
Nuc-391085-chr1_160193329_160193493_stddev=14.53051280819558	110.0
Nuc-56211-chr1_16048792_16048956_stddev=23.72041659131024	133.0
Nuc-392213-chr1_160523113_160523277_stddev=22.952340128086547	103.0
Nuc-56315-chr1_16073787_16073951_stddev=20.291121009858834	188.0
Nuc-392924-chr1_160739120_160739284_stddev=19.436506316151	90.0
Nuc-393730-chr1_161020694_161020858_stddev=16.521501142450706	82.0
Nuc-393796-chr1_161037688_161037852_stddev=16.661616591904316	52.0
Nuc-393913-chr1_161069885_161070049_stddev=23.940508118961947	58.0
Nuc-394416-chr1_161198962_161199126_stddev=22.827576640547576	238.0
Nuc-394470-chr1_161214548_161214712_stddev=18.328215117347217	81.0
Nuc-56622-chr1_16146226_16146390_stddev=12.884098726725126	82.0
Nuc-395543-chr1_161505417_161505581_stddev=15.924504505635332	202.0
Nuc-398590-chr1_162412122_162412286_stddev=17.08252030585651	112.0
Nuc-400303-chr1_162869263_162869427_stddev=20.71193798271905	35.0
Nuc-57852-chr1_16430630_16430794_stddev=20.472160975334283	70.0
Nuc-402766-chr1_164559086_164559250_stddev=14.381764035501806	396.0
Nuc-411912-chr1_167517635_167517799_stddev=19.77462810836645	92.0
Nuc-413577-chr1_167913891_167914055_stddev=18.233041078828528	272.0
Nuc-418586-chr1_169461502_169461666_stddev=28.24889378365107	74.0
Nuc-422993-chr1_171603071_171603235_stddev=15.828803505261012	116.0
Nuc-423184-chr1_171652380_171652544_stddev=16.79974419325121	66.0
Nuc-61039-chr1_17249069_17249233_stddev=8.556998435328957	67.0
Nuc-426262-chr1_172659060_172659224_stddev=16.304201594048607	88.0
Nuc-429239-chr1_173603011_173603175_stddev=18.70337740972502	136.0
Nuc-429493-chr1_173669972_173670136_stddev=20.753011829611623	36.0
Nuc-430436-chr1_173917170_173917334_stddev=25.797944697539062	82.0
Nuc-432377-chr1_174448320_174448484_stddev=20.276657938202174	75.0
Nuc-440004-chr1_177032425_177032589_stddev=23.485811319461234	51.0
Nuc-455815-chr1_182408701_182408865_stddev=15.66652482205291	74.0
Nuc-459641-chr1_183590428_183590592_stddev=18.409300468784792	102.0
Nuc-468166-chr1_186375875_186376039_stddev=22.753777158968575	124.0
Nuc-468268-chr1_186401473_186401637_stddev=15.248278591368928	121.0
Nuc-472292-chr1_190474753_190474917_stddev=15.826314233649672	37.0
Nuc-6703-chr1_1914671_1914835_stddev=14.013644144983209	90.0
Nuc-475732-chr1_192158402_192158566_stddev=18.773503787104964	50.0
Nuc-68210-chr1_19289183_19289347_stddev=12.901334986909086	40.0
Nuc-6877-chr1_1959665_1959829_stddev=19.89350344433933	66.0
Nuc-495406-chr1_201368475_201368639_stddev=18.637579644363697	49.0
Nuc-71470-chr1_20175044_20175208_stddev=21.19321456858303	134.0
Nuc-498107-chr1_202009786_202009950_stddev=19.88986689983132	109.0
Nuc-498752-chr1_202160458_202160622_stddev=13.290050635634945	161.0
Nuc-71896-chr1_20290901_20291065_stddev=15.245420279748698	66.0
Nuc-506459-chr1_204166301_204166465_stddev=21.894925327619656	56.0
Nuc-509949-chr1_205083918_205084082_stddev=15.01180091350357	91.0
Nuc-511778-chr1_205530276_205530440_stddev=17.56116618630805	119.0
Nuc-513335-chr1_205930146_205930310_stddev=25.174253823213025	67.0
Nuc-513599-chr1_206003297_206003461_stddev=23.022931249556375	74.0
Nuc-513670-chr1_206023857_206024021_stddev=9.373055353867631	57.0
Nuc-516690-chr1_206771148_206771312_stddev=23.422146331527994	54.0
Nuc-73578-chr1_20733101_20733265_stddev=12.757350822173073	96.0
Nuc-525824-chr1_209756013_209756177_stddev=15.291827882892221	57.0
Nuc-525998-chr1_209806526_209806690_stddev=21.221379285416635	133.0
Nuc-76811-chr1_21550235_21550399_stddev=17.597979682022846	110.0
Nuc-544087-chr1_217631355_217631519_stddev=23.81467801354637	29.0
Nuc-544984-chr1_218345299_218345463_stddev=16.646408469444342	228.0
Nuc-549233-chr1_220089630_220089794_stddev=13.62461615199695	352.0
Nuc-550685-chr1_220527352_220527516_stddev=11.543095579416967	68.0
Nuc-555243-chr1_222548081_222548245_stddev=16.597891432347662	68.0
Nuc-555898-chr1_222738929_222739093_stddev=14.094531420810775	223.0
Nuc-605658-chr1_239408160_239408324_stddev=12.74414466100004	50.0
Nuc-609364-chr1_241770397_241770561_stddev=14.171221874339725	110.0
Nuc-88320-chr1_24415806_24415970_stddev=20.594632526192083	109.0
Nuc-615067-chr1_244377905_244378069_stddev=18.13188992076572	41.0
Nuc-626290-chr1_247895520_247895684_stddev=13.699908758820257	25.0
