	MNase_Overlap_5read1-SHIFT80_combined.cdt
Nuc-287797-chr1_108876997_108877161_stddev=8.219218670625303	0.0
Nuc-288430-chr1_109042011_109042175_stddev=8.243736026430575	14.0
Nuc-290212-chr1_109466465_109466629_stddev=17.1854253067885	4.0
Nuc-290326-chr1_109494094_109494258_stddev=17.701997815037675	27.0
Nuc-291009-chr1_109656108_109656272_stddev=19.25402141684229	113.0
Nuc-291064-chr1_109668040_109668204_stddev=13.985000783467273	10.0
Nuc-291278-chr1_109740177_109740341_stddev=9.618648553721048	123.0
Nuc-292013-chr1_109910698_109910862_stddev=18.188356894744846	162.0
Nuc-293935-chr1_110407526_110407690_stddev=12.870077268178653	42.0
Nuc-300722-chr1_112466407_112466571_stddev=22.3918298564751	112.0
Nuc-304267-chr1_113390491_113390655_stddev=20.092038224132462	20.0
Nuc-308728-chr1_114669864_114670028_stddev=23.554405108174567	11.0
Nuc-309332-chr1_114854792_114854956_stddev=16.132170144783586	90.0
Nuc-314404-chr1_116570875_116571039_stddev=21.48509657879154	3.0
Nuc-40734-chr1_11681007_11681171_stddev=16.331787187178037	0.0
Nuc-315822-chr1_116909890_116910054_stddev=25.208574379012834	2.0
Nuc-319509-chr1_117929417_117929581_stddev=15.89902163307192	31.0
Nuc-41289-chr1_11806230_11806394_stddev=20.92774742405159	105.0
Nuc-42011-chr1_11980353_11980517_stddev=19.99513829798523	14.0
Nuc-42370-chr1_12063873_12064037_stddev=21.29148890989073	51.0
Nuc-328824-chr1_121183993_121184157_stddev=20.941880485683324	37.0
Nuc-44741-chr1_12618106_12618270_stddev=19.34025210471474	71.0
Nuc-4251-chr1_1287746_1287910_stddev=14.565284068633883	48.0
Nuc-347575-chr1_145957869_145958033_stddev=21.441230245805095	8.0
Nuc-347601-chr1_145964391_145964555_stddev=18.524488297026362	113.0
Nuc-348609-chr1_146228807_146228971_stddev=17.65175593346526	11.0
Nuc-350655-chr1_146938414_146938578_stddev=19.026297590440446	33.0
Nuc-358452-chr1_149390812_149390976_stddev=28.978919541242007	1.0
Nuc-359985-chr1_149841070_149841234_stddev=25.80697580112788	15.0
Nuc-360068-chr1_149861049_149861213_stddev=11.346805717910216	15.0
Nuc-360176-chr1_149887803_149887967_stddev=18.241008058766926	40.0
Nuc-364334-chr1_151008547_151008711_stddev=25.166237425821915	60.0
Nuc-364493-chr1_151047725_151047889_stddev=24.96219363579874	9.0
Nuc-364545-chr1_151059430_151059594_stddev=21.491806363932746	10.0
Nuc-365400-chr1_151282186_151282350_stddev=8.552127740445	8.0
Nuc-366063-chr1_151459052_151459216_stddev=16.940943171959333	10.0
Nuc-366367-chr1_151540309_151540473_stddev=21.551546018846746	34.0
Nuc-372153-chr1_153775290_153775454_stddev=22.499931412789838	15.0
Nuc-374364-chr1_154405326_154405490_stddev=18.449798419722505	8.0
Nuc-376271-chr1_154961583_154961747_stddev=11.847116386136614	7.0
Nuc-376326-chr1_154974210_154974374_stddev=18.688914099114523	95.0
Nuc-376703-chr1_155063750_155063914_stddev=20.62075169881907	37.0
Nuc-376703-chr1_155063750_155063914_stddev=20.62075169881907	37.0
Nuc-377402-chr1_155262073_155262237_stddev=25.85429257288709	24.0
Nuc-377597-chr1_155324511_155324675_stddev=23.126770202516393	13.0
Nuc-378625-chr1_155609813_155609977_stddev=26.533415925297295	55.0
Nuc-379579-chr1_155860454_155860618_stddev=25.52136053877222	15.0
Nuc-380439-chr1_156082322_156082486_stddev=12.304802447227916	5.0
Nuc-383316-chr1_156813822_156813986_stddev=17.023676323155215	9.0
Nuc-383755-chr1_156920629_156920793_stddev=21.978665300583238	32.0
Nuc-384551-chr1_157138291_157138455_stddev=16.128821683213218	4.0
Nuc-390267-chr1_159945867_159946031_stddev=19.293758963667422	11.0
Nuc-390545-chr1_160031727_160031891_stddev=24.413657379972108	60.0
Nuc-391807-chr1_160400646_160400810_stddev=20.334016381969946	2.0
Nuc-394281-chr1_161166658_161166822_stddev=23.88045312942505	104.0
Nuc-56883-chr1_16206930_16207094_stddev=4.0722639076235385	1.0
Nuc-399169-chr1_162561642_162561806_stddev=12.757461913214565	0.0
Nuc-57583-chr1_16367115_16367279_stddev=16.035550782211658	5.0
Nuc-58659-chr1_16613403_16613567_stddev=21.771734452097093	20.0
Nuc-407461-chr1_166166848_166167012_stddev=19.894722918402255	4.0
Nuc-409986-chr1_166989259_166989423_stddev=17.033753559640886	65.0
Nuc-412063-chr1_167553605_167553769_stddev=10.567244989431572	0.0
Nuc-412761-chr1_167721978_167722142_stddev=18.867548197897893	2.0
Nuc-413678-chr1_167936691_167936855_stddev=17.031818465351442	2.0
Nuc-413681-chr1_167937341_167937505_stddev=23.19882755658139	127.0
Nuc-414824-chr1_168226008_168226172_stddev=19.90585480594982	8.0
Nuc-5804-chr1_1692686_1692850_stddev=16.431676725154983	1.0
Nuc-418681-chr1_169485785_169485949_stddev=18.803247862470855	24.0
Nuc-430237-chr1_173868387_173868551_stddev=21.79413625267127	11.0
Nuc-431402-chr1_174159521_174159685_stddev=13.290091918789598	16.0
Nuc-6002-chr1_1746164_1746328_stddev=11.002629287568922	3.0
Nuc-443099-chr1_178725291_178725455_stddev=16.197350606400626	1.0
Nuc-444301-chr1_179082090_179082254_stddev=16.76759803162039	0.0
Nuc-446399-chr1_179742746_179742910_stddev=18.264598423057528	142.0
Nuc-449309-chr1_180502679_180502843_stddev=18.51500892669392	25.0
Nuc-459812-chr1_183635744_183635908_stddev=16.221629826815402	5.0
Nuc-462111-chr1_184387017_184387181_stddev=21.921036835781255	3.0
Nuc-463222-chr1_184754651_184754815_stddev=22.951034835057	2.0
Nuc-464009-chr1_184974316_184974480_stddev=17.28754971070221	22.0
Nuc-464236-chr1_185045469_185045633_stddev=23.722997539200183	6.0
Nuc-464644-chr1_185157498_185157662_stddev=26.669083223838047	30.0
Nuc-6721-chr1_1919144_1919308_stddev=12.387677161378782	0.0
Nuc-68062-chr1_19251334_19251498_stddev=19.43745726172825	132.0
Nuc-477238-chr1_192809009_192809173_stddev=17.206165354322103	71.0
Nuc-478306-chr1_193121990_193122154_stddev=18.113057175327594	11.0
Nuc-69454-chr1_19597045_19597209_stddev=14.57858523287806	28.0
Nuc-483802-chr1_196608760_196608924_stddev=15.078395958833223	69.0
Nuc-486749-chr1_197775422_197775586_stddev=14.709866256674674	2.0
Nuc-492621-chr1_200620585_200620749_stddev=17.26716898202307	80.0
Nuc-492821-chr1_200669756_200669920_stddev=26.234422005433693	2.0
Nuc-496581-chr1_201648128_201648292_stddev=14.341320350224212	2.0
Nuc-501276-chr1_202808281_202808445_stddev=16.30950643030009	5.0
Nuc-503099-chr1_203273312_203273476_stddev=16.09998757763496	142.0
Nuc-503241-chr1_203305488_203305652_stddev=17.710519849793982	44.0
Nuc-505160-chr1_203796101_203796265_stddev=22.748717155730013	50.0
Nuc-507268-chr1_204378173_204378337_stddev=10.998108149928642	39.0
Nuc-510475-chr1_205211490_205211654_stddev=27.660610531945963	5.0
Nuc-72827-chr1_20552551_20552715_stddev=21.619660548265372	6.0
Nuc-512384-chr1_205679872_205680036_stddev=30.711923128033227	2.0
Nuc-512943-chr1_205813076_205813240_stddev=23.138508632093203	4.0
Nuc-514339-chr1_206203576_206203740_stddev=19.076432799631238	25.0
Nuc-517233-chr1_206909607_206909771_stddev=16.82884061791572	0.0
Nuc-519331-chr1_207454202_207454366_stddev=17.81852968120546	10.0
Nuc-525564-chr1_209675295_209675459_stddev=13.703363621980298	12.0
Nuc-533848-chr1_212414706_212414870_stddev=17.12863039880431	8.0
Nuc-534589-chr1_212608655_212608819_stddev=13.973347411047307	13.0
Nuc-535563-chr1_212858260_212858424_stddev=18.011617566086027	3.0
Nuc-76354-chr1_21440070_21440234_stddev=16.443693676555615	13.0
Nuc-542155-chr1_215567268_215567432_stddev=15.633775313581667	7.0
Nuc-544085-chr1_217630898_217631062_stddev=22.66019362229723	29.0
Nuc-549065-chr1_220046296_220046460_stddev=18.590558700402713	57.0
Nuc-549254-chr1_220094138_220094302_stddev=23.44944654378599	7.0
Nuc-555811-chr1_222712317_222712481_stddev=15.637877409563718	5.0
Nuc-557790-chr1_223363999_223364163_stddev=15.818646966056699	24.0
Nuc-557879-chr1_223393292_223393456_stddev=27.920522121829233	13.0
Nuc-563260-chr1_224929770_224929934_stddev=24.69592858932194	2.0
Nuc-567245-chr1_226186568_226186732_stddev=21.158295521798422	1.0
Nuc-571522-chr1_227318156_227318320_stddev=13.965588037009665	14.0
Nuc-572891-chr1_227735186_227735350_stddev=15.656024754423171	3.0
Nuc-574887-chr1_228276204_228276368_stddev=26.408100179718357	5.0
