# 2025-03-25 20:16:05.84
# MPE-seq_10min_merge_rep1_mm10.bam
# Chromosome_ID	Chromosome_Size	Aligned_Reads	Unaligned_Reads
# chr1	195471971	8264195.0	0.0
# chr2	182113224	8483315.0	0.0
# chr3	160039680	6175749.0	0.0
# chr4	156508116	6869895.0	0.0
# chr5	151834684	6880771.0	0.0
# chr6	149736546	6747038.0	0.0
# chr7	145441459	6418556.0	0.0
# chr8	129401213	6191642.0	0.0
# chr9	124595110	6000468.0	0.0
# chr10	130694993	5550139.0	0.0
# chr11	122082543	7322266.0	0.0
# chr12	120129022	4957463.0	0.0
# chr13	120421639	5099201.0	0.0
# chr14	124902244	4810814.0	0.0
# chr15	104043685	4623953.0	0.0
# chr16	98207768	3992711.0	0.0
# chr17	94987271	4423207.0	0.0
# chr18	90702639	3773420.0	0.0
# chr19	61431566	2802992.0	0.0
# chrX	171031299	2649611.0	0.0
# chrY	91744698	135594.0	0.0
# Total Genome Size: 2.72552137E9	Total Aligned Tags: 1.12173E8
# bwa	# 0.7.17-r1188
# bwa mem -t 24 -v 1 -T 30 -h 5 -M /storage/group/bfp2/default/wkl2-WillLai/00_REFERENCE_DATA/GENOMES/mm10/mm10.fa /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034484_1.fastq.gz /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034484_2.fastq.gz
# bwa-248905AD	# 0.7.17-r1188
# bwa mem -t 24 -v 1 -T 30 -h 5 -M /storage/group/bfp2/default/wkl2-WillLai/00_REFERENCE_DATA/GENOMES/mm10/mm10.fa /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034485_1.fastq.gz /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034485_2.fastq.gz
# MarkDuplicates	# 2.24.1
# MarkDuplicates INPUT=[/storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/merged_tech_reps/SRR2034484_SRR2034485_ALIGNED_MERGE.bam] OUTPUT=SRR2034484_SRR2034485_ALIGNED_MERGE_MARKUP.bam METRICS_FILE=SRR2034484_SRR2034485_ALIGNED_MERGE_output_metrics.tab REMOVE_DUPLICATES=true ASSUME_SORTED=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*. OPTICAL_DUPLICATE_PIXEL_DISTANCE=100    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
# Average Insert Size: 196.79358840826438
# Median Insert Size: 177.0
# Mode Insert Size: 164.0
# Std deviation of Insert Size: 79.49809095872418
# Number of ReadPairs: 5.3874297E7
# Histogram
# Size (bp)	Frequency
0	1012.0
1	0.0
2	536.0
3	526.0
4	558.0
5	516.0
6	567.0
7	569.0
8	562.0
9	578.0
10	597.0
11	627.0
12	639.0
13	669.0
14	759.0
15	755.0
16	812.0
17	828.0
18	870.0
19	2403.0
20	2138.0
21	1607.0
22	1349.0
23	1311.0
24	1339.0
25	1512.0
26	1547.0
27	1642.0
28	1677.0
29	1794.0
30	1953.0
31	2073.0
32	2332.0
33	2517.0
34	2723.0
35	2976.0
36	3285.0
37	3598.0
38	3688.0
39	3970.0
40	4186.0
41	4412.0
42	4675.0
43	4965.0
44	5322.0
45	5913.0
46	6430.0
47	6944.0
48	7414.0
49	7656.0
50	8208.0
51	8525.0
52	8873.0
53	9397.0
54	10146.0
55	10945.0
56	12129.0
57	12792.0
58	13828.0
59	14827.0
60	15471.0
61	15972.0
62	16901.0
63	18067.0
64	19522.0
65	21385.0
66	23074.0
67	25676.0
68	28113.0
69	30849.0
70	32211.0
71	33748.0
72	35451.0
73	37952.0
74	41023.0
75	44107.0
76	47896.0
77	52073.0
78	56913.0
79	61117.0
80	63489.0
81	65513.0
82	67417.0
83	70321.0
84	73790.0
85	77986.0
86	83851.0
87	90314.0
88	98142.0
89	107543.0
90	111602.0
91	111761.0
92	111645.0
93	113576.0
94	116322.0
95	120233.0
96	126575.0
97	132821.0
98	141354.0
99	150979.0
100	153954.0
101	155777.0
102	156124.0
103	156611.0
104	156683.0
105	160252.0
106	165330.0
107	172302.0
108	180969.0
109	191891.0
110	197955.0
111	201275.0
112	199388.0
113	196930.0
114	196722.0
115	197840.0
116	202352.0
117	209328.0
118	218103.0
119	228197.0
120	234436.0
121	236747.0
122	234618.0
123	235682.0
124	236415.0
125	238233.0
126	241915.0
127	248190.0
128	256916.0
129	265809.0
130	276032.0
131	285740.0
132	292295.0
133	294482.0
134	294469.0
135	298577.0
136	301821.0
137	307531.0
138	316342.0
139	325757.0
140	333657.0
141	340121.0
142	345142.0
143	351091.0
144	356413.0
145	358446.0
146	363263.0
147	367877.0
148	372160.0
149	377863.0
150	383891.0
151	390500.0
152	396139.0
153	399198.0
154	402864.0
155	406653.0
156	409822.0
157	413974.0
158	415012.0
159	416124.0
160	417653.0
161	419768.0
162	419725.0
163	419223.0
164	420437.0
165	419737.0
166	419892.0
167	419057.0
168	416951.0
169	414309.0
170	411571.0
171	408054.0
172	405585.0
173	401400.0
174	399543.0
175	396728.0
176	394002.0
177	390798.0
178	386347.0
179	380357.0
180	377445.0
181	371103.0
182	364695.0
183	358920.0
184	353796.0
185	349487.0
186	343301.0
187	340112.0
188	334923.0
189	327827.0
190	322854.0
191	315475.0
192	310466.0
193	304308.0
194	296558.0
195	291176.0
196	286098.0
197	280132.0
198	275382.0
199	270187.0
200	264738.0
201	257288.0
202	251692.0
203	245117.0
204	239402.0
205	233701.0
206	228632.0
207	223641.0
208	219184.0
209	213949.0
210	208699.0
211	204375.0
212	198829.0
213	193888.0
214	190277.0
215	184512.0
216	180859.0
217	177037.0
218	172505.0
219	168273.0
220	165162.0
221	161647.0
222	157341.0
223	153566.0
224	150220.0
225	146331.0
226	143094.0
227	139884.0
228	137824.0
229	135028.0
230	131968.0
231	129626.0
232	127186.0
233	124402.0
234	121284.0
235	119564.0
236	116708.0
237	114374.0
238	112903.0
239	111061.0
240	109379.0
241	107376.0
242	105627.0
243	104312.0
244	102338.0
245	99971.0
246	98626.0
247	97394.0
248	95854.0
249	94649.0
250	93458.0
251	92256.0
252	91353.0
253	90314.0
254	88790.0
255	87194.0
256	86111.0
257	85352.0
258	83916.0
259	83474.0
260	82452.0
261	82418.0
262	81344.0
263	80634.0
264	79467.0
265	79099.0
266	77969.0
267	77318.0
268	76376.0
269	75920.0
270	75412.0
271	74639.0
272	74319.0
273	74029.0
274	73739.0
275	72797.0
276	72464.0
277	71264.0
278	71132.0
279	70348.0
280	70029.0
281	70447.0
282	69435.0
283	69761.0
284	68837.0
285	68829.0
286	68192.0
287	68279.0
288	67319.0
289	67438.0
290	67163.0
291	67357.0
292	67158.0
293	67217.0
294	66812.0
295	67170.0
296	67246.0
297	66467.0
298	67267.0
299	66821.0
300	66723.0
301	66973.0
302	67054.0
303	67350.0
304	66899.0
305	67449.0
306	67618.0
307	67844.0
308	67940.0
309	68328.0
310	68508.0
311	68557.0
312	68961.0
313	69371.0
314	69189.0
315	70034.0
316	70047.0
317	70731.0
318	70821.0
319	71047.0
320	71467.0
321	71363.0
322	72158.0
323	72065.0
324	72749.0
325	73064.0
326	73251.0
327	73702.0
328	73961.0
329	74032.0
330	74621.0
331	74748.0
332	75016.0
333	74800.0
334	75944.0
335	75597.0
336	75911.0
337	76213.0
338	75999.0
339	76247.0
340	75933.0
341	76227.0
342	75785.0
343	75819.0
344	75632.0
345	75461.0
346	75360.0
347	75013.0
348	74902.0
349	74816.0
350	74482.0
351	73930.0
352	73665.0
353	72657.0
354	72749.0
355	72526.0
356	71944.0
357	71337.0
358	70876.0
359	70203.0
360	69847.0
361	68934.0
362	67655.0
363	67277.0
364	66697.0
365	65893.0
366	65117.0
367	64275.0
368	63417.0
369	62562.0
370	61043.0
371	60909.0
372	60165.0
373	58988.0
374	57934.0
375	57109.0
376	56220.0
377	55029.0
378	54297.0
379	53605.0
380	52420.0
381	51736.0
382	50725.0
383	49989.0
384	48695.0
385	47912.0
386	47180.0
387	45974.0
388	44591.0
389	44141.0
390	43389.0
391	42399.0
392	41355.0
393	40816.0
394	40305.0
395	39349.0
396	38349.0
397	37488.0
398	36690.0
399	35757.0
400	34786.0
401	34348.0
402	33555.0
403	32866.0
404	32109.0
405	31917.0
406	30928.0
407	29963.0
408	29306.0
409	29230.0
410	28066.0
411	27637.0
412	26902.0
413	26189.0
414	25817.0
415	25383.0
416	24825.0
417	24410.0
418	23899.0
419	23167.0
420	22815.0
421	22411.0
422	22007.0
423	21337.0
424	21018.0
425	20514.0
426	20125.0
427	19425.0
428	19445.0
429	18829.0
430	18333.0
431	18204.0
432	17802.0
433	17214.0
434	17029.0
435	16773.0
436	16555.0
437	16277.0
438	16126.0
439	15452.0
440	15657.0
