# 2025-03-25 20:20:46.126
# MPE-seq_20min_merge_rep1_mm10.bam
# Chromosome_ID	Chromosome_Size	Aligned_Reads	Unaligned_Reads
# chr1	195471971	9164656.0	0.0
# chr2	182113224	9479606.0	0.0
# chr3	160039680	6814627.0	0.0
# chr4	156508116	7693606.0	0.0
# chr5	151834684	7733679.0	0.0
# chr6	149736546	7512155.0	0.0
# chr7	145441459	7241466.0	0.0
# chr8	129401213	6950707.0	0.0
# chr9	124595110	6757107.0	0.0
# chr10	130694993	6187177.0	0.0
# chr11	122082543	8302139.0	0.0
# chr12	120129022	5530290.0	0.0
# chr13	120421639	5674774.0	0.0
# chr14	124902244	5345905.0	0.0
# chr15	104043685	5172683.0	0.0
# chr16	98207768	4429121.0	0.0
# chr17	94987271	4968445.0	0.0
# chr18	90702639	4198019.0	0.0
# chr19	61431566	3161589.0	0.0
# chrX	171031299	2888559.0	0.0
# chrY	91744698	147875.0	0.0
# Total Genome Size: 2.72552137E9	Total Aligned Tags: 1.25354185E8
# bwa	# 0.7.17-r1188
# bwa mem -t 24 -v 1 -T 30 -h 5 -M /storage/group/bfp2/default/wkl2-WillLai/00_REFERENCE_DATA/GENOMES/mm10/mm10.fa /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034487_1.fastq.gz /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034487_2.fastq.gz
# bwa-4FE1208A	# 0.7.17-r1188
# bwa mem -t 24 -v 1 -T 30 -h 5 -M /storage/group/bfp2/default/wkl2-WillLai/00_REFERENCE_DATA/GENOMES/mm10/mm10.fa /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034488_1.fastq.gz /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034488_2.fastq.gz
# MarkDuplicates	# 2.24.1
# MarkDuplicates INPUT=[/storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/merged_tech_reps/SRR2034487_SRR2034488_ALIGNED_MERGE.bam] OUTPUT=SRR2034487_SRR2034488_ALIGNED_MERGE_MARKUP.bam METRICS_FILE=SRR2034487_SRR2034488_ALIGNED_MERGE_output_metrics.tab REMOVE_DUPLICATES=true ASSUME_SORTED=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*. OPTICAL_DUPLICATE_PIXEL_DISTANCE=100    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
# Average Insert Size: 186.27290921891347
# Median Insert Size: 170.0
# Mode Insert Size: 162.0
# Std deviation of Insert Size: 75.60906679167967
# Number of ReadPairs: 6.0256668E7
# Histogram
# Size (bp)	Frequency
0	635.0
1	0.0
2	587.0
3	584.0
4	575.0
5	586.0
6	598.0
7	576.0
8	647.0
9	667.0
10	637.0
11	650.0
12	651.0
13	664.0
14	699.0
15	729.0
16	706.0
17	770.0
18	811.0
19	2245.0
20	2026.0
21	1528.0
22	1293.0
23	1366.0
24	1432.0
25	1569.0
26	1571.0
27	1832.0
28	1882.0
29	2029.0
30	2204.0
31	2409.0
32	2731.0
33	2862.0
34	3218.0
35	3560.0
36	3977.0
37	4344.0
38	4757.0
39	5091.0
40	5496.0
41	5854.0
42	6119.0
43	6886.0
44	7510.0
45	8466.0
46	9310.0
47	10177.0
48	11029.0
49	11786.0
50	12522.0
51	13367.0
52	14223.0
53	15441.0
54	16742.0
55	18616.0
56	21115.0
57	23285.0
58	25785.0
59	27760.0
60	29847.0
61	31333.0
62	33734.0
63	36804.0
64	40005.0
65	44409.0
66	49042.0
67	54847.0
68	60893.0
69	66124.0
70	69712.0
71	73045.0
72	76685.0
73	81342.0
74	87684.0
75	93671.0
76	100909.0
77	108502.0
78	117140.0
79	124066.0
80	127021.0
81	127698.0
82	129459.0
83	131446.0
84	137494.0
85	143087.0
86	150109.0
87	158480.0
88	169861.0
89	181363.0
90	185638.0
91	182589.0
92	178185.0
93	176825.0
94	178647.0
95	182150.0
96	186426.0
97	193368.0
98	202814.0
99	211487.0
100	213246.0
101	212356.0
102	209325.0
103	206676.0
104	206882.0
105	209510.0
106	213220.0
107	221343.0
108	229385.0
109	239168.0
110	245578.0
111	246192.0
112	242678.0
113	237953.0
114	236502.0
115	237899.0
116	243514.0
117	249667.0
118	259856.0
119	270788.0
120	276630.0
121	278125.0
122	278290.0
123	277591.0
124	278087.0
125	280872.0
126	286042.0
127	294188.0
128	301426.0
129	312321.0
130	322943.0
131	334191.0
132	341923.0
133	344172.0
134	345652.0
135	347226.0
136	352366.0
137	359920.0
138	368863.0
139	379319.0
140	388631.0
141	395645.0
142	401761.0
143	409479.0
144	414953.0
145	419931.0
146	421710.0
147	428048.0
148	432269.0
149	440276.0
150	446370.0
151	452730.0
152	457827.0
153	463509.0
154	465573.0
155	470510.0
156	474377.0
157	477799.0
158	479600.0
159	480940.0
160	482459.0
161	481189.0
162	482876.0
163	482173.0
164	482217.0
165	481589.0
166	480057.0
167	479198.0
168	477359.0
169	474386.0
170	469931.0
171	466877.0
172	462530.0
173	457818.0
174	454226.0
175	450738.0
176	446449.0
177	442131.0
178	437079.0
179	432494.0
180	425081.0
181	417960.0
182	411103.0
183	403607.0
184	397407.0
185	391834.0
186	384924.0
187	380195.0
188	373029.0
189	366160.0
190	359774.0
191	351799.0
192	343754.0
193	336515.0
194	329039.0
195	321874.0
196	314857.0
197	308348.0
198	302112.0
199	295663.0
200	289630.0
201	281857.0
202	273287.0
203	267913.0
204	260374.0
205	254560.0
206	247686.0
207	242712.0
208	236718.0
209	231185.0
210	225160.0
211	219634.0
212	213663.0
213	207682.0
214	202351.0
215	196783.0
216	192299.0
217	187796.0
218	183642.0
219	178787.0
220	174805.0
221	170576.0
222	166389.0
223	161838.0
224	157154.0
225	153871.0
226	150679.0
227	145941.0
228	143800.0
229	141033.0
230	137317.0
231	134505.0
232	131933.0
233	129404.0
234	125666.0
235	123770.0
236	119821.0
237	118690.0
238	116506.0
239	113756.0
240	112441.0
241	109805.0
242	107760.0
243	105705.0
244	103513.0
245	102474.0
246	100015.0
247	99421.0
248	97835.0
249	96327.0
250	94985.0
251	93537.0
252	92188.0
253	90777.0
254	89445.0
255	88383.0
256	86536.0
257	85381.0
258	84963.0
259	83622.0
260	83243.0
261	81817.0
262	81503.0
263	80431.0
264	79415.0
265	77856.0
266	77587.0
267	76648.0
268	75609.0
269	75840.0
